2017-04-11 14:43:45 install init:i386 <none> 1.29ubuntu1
2017-04-11 14:43:45 status half-installed init:i386 1.29ubuntu1
2017-04-11 14:43:45 status unpacked init:i386 1.29ubuntu1
2017-04-11 14:43:45 status unpacked init:i386 1.29ubuntu1
2017-04-11 14:43:45 install init-system-helpers:all <none> 1.29ubuntu1
2017-04-11 14:43:45 status half-installed init-system-helpers:all 1.29ubuntu1
2017-04-11 14:43:45 status unpacked init-system-helpers:all 1.29ubuntu1
2017-04-11 14:43:45 status unpacked init-system-helpers:all 1.29ubuntu1
2017-04-11 14:43:45 install initscripts:i386 <none> 2.88dsf-59.3ubuntu2
2017-04-11 14:43:45 status half-installed initscripts:i386 2.88dsf-59.3ubuntu2
2017-04-11 14:43:45 status unpacked initscripts:i386 2.88dsf-59.3ubuntu2
2017-04-11 14:43:45 status unpacked initscripts:i386 2.88dsf-59.3ubuntu2
2017-04-11 14:43:45 install insserv:i386 <none> 1.14.0-5ubuntu3
2017-04-11 14:43:45 status half-installed insserv:i386 1.14.0-5ubuntu3
2017-04-11 14:43:45 status unpacked insserv:i386 1.14.0-5ubuntu3
2017-04-11 14:43:45 status unpacked insserv:i386 1.14.0-5ubuntu3
2017-04-11 14:43:45 install libacl1:i386 <none> 2.2.52-3
2017-04-11 14:43:45 status half-installed libacl1:i386 2.2.52-3
2017-04-11 14:43:45 status unpacked libacl1:i386 2.2.52-3
2017-04-11 14:43:45 status unpacked libacl1:i386 2.2.52-3
2017-04-11 14:43:45 install libapparmor1:i386 <none> 2.10.95-0ubuntu2
2017-04-11 14:43:45 status half-installed libapparmor1:i386 2.10.95-0ubuntu2
2017-04-11 14:43:45 status unpacked libapparmor1:i386 2.10.95-0ubuntu2
2017-04-11 14:43:45 status unpacked libapparmor1:i386 2.10.95-0ubuntu2
2017-04-11 14:43:45 install libattr1:i386 <none> 1:2.4.47-2
2017-04-11 14:43:45 status half-installed libattr1:i386 1:2.4.47-2
2017-04-11 14:43:45 status unpacked libattr1:i386 1:2.4.47-2
2017-04-11 14:43:45 status unpacked libattr1:i386 1:2.4.47-2
2017-04-11 14:43:45 install libaudit-common:all <none> 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 status half-installed libaudit-common:all 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 status unpacked libaudit-common:all 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 install libaudit1:i386 <none> 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 status half-installed libaudit1:i386 1:2.4.5-1ubuntu2
2017-04-11 14:43:45 status unpacked libaudit1:i386 1:2.4.5-1ubuntu2
